ID,Titre,Auteur,Éditeur,Année,Type,Genre,Note,À vérifier,Photos,Résumé
12,"Plaisir d'offrir, joie de recevoir",Anna Gavalda,Le Dilettante,1999,Nouvelles,Littérature française,,oui,IMG-20260529-WA0021.jpg / PXL_20260522_080833969.jpg,"Court texte d'Anna Gavalda publié par Le Dilettante, son éditeur d'origine. Dans le style intimiste et tendre qui a fait son succès, l'autrice y aborde les petits riens du quotidien et les relations humaines. Description fondée sur l'auteur et l'éditeur."
13,Summer Rain,Annette Lévy-Willard,,,Roman,Littérature française,,oui,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Ouvrage d'Annette Lévy-Willard, journaliste française. Le contenu précis de ce titre ne m'est pas connu avec certitude ; description établie d'après le titre et l'auteur."
14,L'enfant du peuple ancien,Anouar Benmalek,Le Livre de Poche,2000,Roman,Littérature francophone,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Roman d'Anouar Benmalek, écrivain algérien. À la fin du XIXe siècle, l'histoire suit le destin croisé de personnes arrachées à leur vie et confrontées à la colonisation et à la déportation, jusqu'en Nouvelle-Calédonie, où vivent les derniers représentants d'un peuple aborigène. Un roman puissant sur la violence de l'Histoire, l'exil et la survie."
15,Le Petit Prince,Antoine de Saint-Exupéry,Gallimard (nrf),1943,Jeunesse,Conte philosophique,4.4,,IMG-20260529-WA0015.jpg / image-1779437236917.jpg,"Conte poétique et philosophique d'Antoine de Saint-Exupéry, l'un des livres les plus lus au monde. Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète. À travers le récit de ses voyages et de sa rose, le petit prince livre une réflexion sur l'amour, l'amitié, la perte et le regard des adultes. « On ne voit bien qu'avec le cœur. »"
16,Et si l'on changeait de vie,Armelle Oger,JC Lattes,2000,Document,Développement personnel,,oui,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Ouvrage d'Armelle Oger qui rassemble des témoignages et réflexions de personnes ayant choisi de tout quitter pour changer de vie : reconversions, ruptures, nouveaux départs. Un livre dans la veine du développement personnel et des récits de vie. Description fondée sur le titre et l'auteur."
159,La delegation de service public,Auby,Que sais-je ? (PUF),1997,Essai,Économie,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Volume de la collection « Que sais-je ? » consacré à la délégation de service public, mode de gestion par lequel une collectivité confie l'exploitation d'un service public à un tiers. L'ouvrage en présente le cadre juridique, les mécanismes contractuels et les enjeux."
17,Compagnons du Nouveau Monde,Bernard Clavel,Pocket,1981,Roman,Roman historique,,oui,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman de Bernard Clavel, prolifique romancier régionaliste français. Ce récit s'inscrit dans une fresque historique consacrée aux pionniers et émigrants partis bâtir une nouvelle vie en Amérique. Roman d'aventure et de destinées humaines marqué par le souffle épique et l'attention aux gens simples chers à l'auteur."
18,La Vieille femme,Bernard Clavel,Pocket,,Roman,Littérature française,,oui,IMG-20260529-WA0021.jpg,"Roman de Bernard Clavel. L'auteur, connu pour ses récits ancrés dans le monde rural et populaire, y dresse le portrait d'une vieille femme et de sa vie. Description fondée sur le titre et l'auteur ; le contenu précis ne m'est pas connu avec certitude."
19,Le pays vert et tendre que nous avons,Bernard Clavel,Pocket,,Roman,Littérature française,,oui,IMG-20260529-WA0021.jpg,"Roman de Bernard Clavel au titre évoquant la nostalgie d'un pays et d'une enfance. Dans la veine régionaliste et humaniste de l'auteur, attaché à la nature et aux gens du terroir. Description fondée sur le titre et l'auteur ; contenu précis incertain."
20,Le Jour des fourmis,Bernard Werber,Le Livre de Poche,1992,Roman,Science-fiction,3.8,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Deuxième tome de la trilogie des Fourmis de Bernard Werber. Le récit entremêle l'enquête d'humains autour d'une cave mystérieuse et la vie épique d'une cité de fourmis, avec son intelligence collective et ses guerres. Mêlant thriller, science et imaginaire, le roman invite à changer de point de vue sur le vivant et à considérer l'intelligence d'une autre espèce."
151,Dis-moi ce que tu manges...,Bertrand Marquer,Art de vivre,2020,Essai,Cuisine / Diététique,,oui,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Ouvrage explorant le thème de l'alimentation et de son rapport à l'identité, suggéré par le titre « Dis-moi ce que tu manges... ». Les sujets indiqués (la nourriture dans la littérature, ses dimensions sociales et psychologiques) orientent vers un essai sur la place culturelle et symbolique de la nourriture. Description prudente faute d'auteur identifié."
21,Cavalcade,Bruno de Stabenrath,Robert Laffont,2001,Autobiographie,Récit de vie,4.0,,IMG-20260529-WA0024.jpg / PXL_20260522_080925838.jpg,"Récit autobiographique de Bruno de Stabenrath. Victime d'un grave accident de voiture qui l'a rendu tétraplégique, l'auteur, ancien comédien et homme à la vie flamboyante, raconte sa cavalcade existentielle, l'avant et l'après, avec énergie et humour malgré le drame. Un témoignage sur la vie, la chute et la reconstruction."
22,L'Homme à la découverte de son âme,C. G. Jung,Albin Michel,1962,Essai,Psychologie,,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Recueil de textes de Carl Gustav Jung accessible au grand public. Le fondateur de la psychologie analytique y explore la structure de la psyché, l'inconscient, les rêves et la quête de sens, invitant l'homme moderne à partir à la découverte de son âme. Une introduction aux grands thèmes de la pensée jungienne."
23,Petite philosophie pour temps variables,Cedric Guerard,Ken Ross,2002,Essai,Philosophie,,oui,PXL_20260522_080837282.jpg,"Petit essai de Cédric Guérard proposant une philosophie du quotidien, adaptée aux humeurs et aux « temps variables » de la vie. Ouvrage de réflexion légère et accessible. Description fondée sur le titre et l'auteur."
24,Le sens du jeune,Chantal Pelletier?,,,Roman,Littérature française,,oui,PXL_20260522_080837282.jpg,"Ouvrage attribué de façon incertaine à Chantal Pelletier. Le titre et l'auteur étant eux-mêmes donnés avec un point d'interrogation, le contenu ne peut être décrit avec fiabilité."
25,Les Fleurs du mal,Charles Baudelaire,GF (Garnier-Flammarion),1855,Poésie,Poésie française,4.2,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Recueil de poèmes de Charles Baudelaire, œuvre majeure de la poésie française publiée en 1857. Organisé en sections (Spleen et Idéal, Tableaux parisiens, etc.), il explore la beauté, le mal, l'ennui, la mort et la modernité urbaine, mêlant sensualité et spiritualité. Le livre fut condamné pour outrage aux bonnes mœurs à sa parution et demeure une pierre angulaire de la poésie moderne."
26,Saint Benoît et la vie monastique,Claude Jean-Nesmy,Seuil (Maîtres spirituels),1959,Essai,Spiritualité / Christianisme,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Ouvrage de Claude Jean-Nesmy dans la collection « Maîtres spirituels » du Seuil, consacré à saint Benoît et à la tradition monastique bénédictine. Il présente la vie, la Règle de saint Benoît et la spiritualité de la vie en communauté, fondée sur la prière, le travail et l'équilibre (« ora et labora »). Une introduction au monachisme occidental."
27,Pensées et anecdotes,Coluche,Le Livre de Poche,1995,Document,Humour,,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Recueil de pensées, aphorismes et anecdotes de Coluche, célèbre humoriste français. On y retrouve son humour mordant, son franc-parler et sa tendresse pour les petites gens, à travers sketches, formules et bons mots. Un florilège de l'esprit de l'un des comiques les plus populaires de France."
174,Odeurs,Cédric Sapin-Defour,Autrement (Mutations),2023,Essai,Politique / Société,4.0,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Ouvrage de la collection Mutations (Autrement) consacré aux odeurs. Il propose une réflexion pluridisciplinaire sur l'odorat, les parfums et les odeurs dans la vie sociale, la culture et les rapports entre humains et animaux."
178,Pocket London,Damian Harper,Lonely Planet,2012,Guide de voyage,Voyage / Europe,,,IMG-20260529-WA0027.jpg / PXL_20260522_080854643.jpg,"Guide de poche Lonely Planet consacré à Londres. Format compact, il propose les visites incontournables, des itinéraires, des adresses et des cartes pour découvrir rapidement la capitale britannique. Ouvrage en anglais."
28,Publicity: 7 Steps to Publicize Just About Anything,David Carriere,,,Manuel / Guide pratique,Communication / Marketing,,,IMG-20260529-WA0012.jpg / PXL_20260522_080939460.jpg,"Guide pratique de David Carriere sur les relations publiques, proposant une méthode en sept étapes pour assurer la promotion et la publicité de presque n'importe quel produit, événement ou activité. Un manuel destiné aux entrepreneurs et communicants."
29,Body of Lies,David Ignatius,Norton,2007,Roman,Policier / Thriller,,,IMG-20260529-WA0012.jpg / PXL_20260522_080939460.jpg,"Thriller d'espionnage de David Ignatius, journaliste américain spécialiste du renseignement. Un agent de la CIA monte une opération de désinformation complexe pour piéger un réseau terroriste au Moyen-Orient, créant de toutes pièces une fausse organisation. Roman tendu sur les manipulations du renseignement, adapté au cinéma sous le titre Mensonges d'État."
30,Thailand: A Short History,David K. Wyatt,Yale University Press,,Document,Histoire / Asie,,,IMG-20260529-WA0013.jpg / PXL_20260522_080951230.jpg / PXL_20260522_080954822.jpg,"Ouvrage de référence de l'historien David K. Wyatt publié par Yale University Press, retraçant l'histoire de la Thaïlande des origines à l'époque contemporaine. Synthèse claire sur la formation du royaume, les dynasties, la monarchie et l'évolution politique du pays. Un classique pour comprendre la Thaïlande."
31,La Savane,Denise Bagnol,,,Document,Nature / Afrique,,oui,IMG-20260529-WA0021.jpg,"Ouvrage de Denise Bagnol consacré à la savane. Le contenu précis ne m'est pas connu avec certitude ; description établie d'après le titre, évoquant les milieux et la faune de la savane."
32,Tendres morsures,Diane Schoemperlen,Linternaute / L'Olivier?,,Roman,Fiction étrangère,,oui,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Recueil de fictions de l'auteure canadienne Diane Schoemperlen. Le titre français « Tendres morsures » correspond probablement à « In the Language of Love », roman composé de courts chapitres structurés autour de mots-clés associatifs, explorant la vie amoureuse et intérieure d'une femme. Récit inventif jouant sur la mémoire et le langage."
33,Presentation des exercices du Docteur Vittoz,Dr P. d'Espiney,Tequi,,Manuel / Guide pratique,Psychologie / Développement personnel,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Présentation pratique de la méthode du Docteur Roger Vittoz, médecin suisse ayant mis au point une technique de rééducation du contrôle cérébral. L'ouvrage expose des exercices de concentration, de réceptivité sensorielle et de maîtrise des émotions destinés à lutter contre l'anxiété et la fatigue nerveuse. Manuel d'application spirituelle et thérapeutique publié chez Téqui."
34,Seasons in Hell,Ed Vulliamy,Simon & Schuster,,Document,Géopolitique / Reportage,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"Reportage du journaliste britannique Ed Vulliamy sur les guerres de l'ex-Yougoslavie, notamment en Bosnie. Témoin direct du conflit, l'auteur décrit le nettoyage ethnique, les camps et l'horreur quotidienne au début des années 1990. Ouvrage de journalisme d'investigation engagé, salué pour son intensité."
35,Caractères chinois,Edoardo Fazzioli,Flammarion,,Référence,Langue / Culture chinoise,,,IMG-20260529-WA0014.jpg / IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Ouvrage d'Edoardo Fazzioli consacré à l'origine et à l'évolution des caractères chinois. Chaque idéogramme est présenté à travers son étymologie, son dessin ancien et sa signification, accompagné d'illustrations. Livre d'initiation à l'écriture et à la civilisation chinoises, mêlant calligraphie, histoire et symbolique."
36,The Historian,Elizabeth Kostova,Sphere / Time Warner,2005,Roman,Roman historique / Fantastique,3.7,,IMG-20260529-WA0024.jpg / PXL_20260522_080925838.jpg,"Premier roman d'Elizabeth Kostova, « The Historian » entremêle quête historique et légende de Dracula. Une jeune femme découvre dans la bibliothèque de son père des documents anciens qui la lancent, à travers l'Europe et les archives, sur les traces du véritable Vlad l'Empaleur et d'un vampire toujours vivant. Thriller érudit et gothique."
37,Time for Thailand,Elliott Kulick / Dick Wilson,White Lotus,1996,Guide de voyage,Voyage / Asie,,oui,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Ouvrage présentant la Thaïlande, son histoire, sa culture, ses paysages et ses sites. Livre illustré de découverte destiné aux voyageurs et amateurs du pays, abordant le patrimoine et l'art de vivre thaïlandais."
38,Bartleby et Compagnie,Enrique Vila-Matas,Christian Bourgois,2002,Essai,Littérature / Critique,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"« Bartleby et Compagnie » d'Enrique Vila-Matas est un récit-essai consacré aux écrivains du « non », ceux qui, comme le Bartleby de Melville, ont renoncé à écrire. Sous forme de notes en bas de page commentant un texte invisible, l'auteur dresse une galerie d'auteurs frappés de mutisme littéraire. Méditation érudite et ironique sur le silence en littérature."
39,The War for Palestine,Eugene L. Rogan & Avi Shlaim (eds.),Cambridge University Press,,Essai,Géopolitique / Moyen-Orient,,,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Ouvrage collectif dirigé par Eugene Rogan et Avi Shlaim réexaminant la guerre israélo-arabe de 1948 et ses suites pour les Palestiniens. Réunissant des historiens revisitant les sources arabes et israéliennes, il propose une relecture critique de la « Nakba » et des origines du conflit. Référence universitaire d'histoire du Moyen-Orient."
42,Savannah,Eugenia Price?,,,Roman,Fiction étrangère,,oui,PXL_20260522_080911830.jpg,"Roman vraisemblablement attribué à l'écrivaine américaine Eugenia Price, autrice de sagas historiques situées dans le Sud des États-Unis. « Savannah » serait le premier volet d'une fresque romanesque se déroulant dans la ville de Géorgie au XIXe siècle, mêlant histoire familiale et amours. Attribution incertaine."
40,La boîte à oreilles,Eugène Pujarniscle,Kailash,,Roman,Littérature française / Indochine,,oui,IMG-20260529-WA0019.jpg,"Ouvrage d'Eugène Pujarniscle, écrivain colonial lié à l'Indochine, réédité chez Kailash, éditeur spécialisé dans la littérature coloniale asiatique. Le titre suggère un récit ou des évocations littéraires sur l'Asie. Description prudente faute de détails certains sur le contenu."
41,La Météo,Eugène Pujarniscle,Gründ,,Manuel / Guide pratique,Nature / Sciences,,oui,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Ouvrage de vulgarisation sur la météorologie publié chez Gründ, éditeur de livres pratiques et illustrés. Présente vraisemblablement les phénomènes atmosphériques, la formation du temps et la prévision. Attribution d'auteur incertaine. Description neutre faute d'informations précises."
43,Dalle colline le strade rosse del Rwanda,Federica Cecchini Tita,,,Document,Témoignage / Afrique,,oui,PXL_20260522_080943546.jpg,"Ouvrage en italien de Federica Cecchini Tita évoquant le Rwanda (« Des collines, les routes rouges du Rwanda »). Le texte semble relever du témoignage ou du récit de voyage et de mémoire sur ce pays marqué par le génocide. Description prudente faute d'informations détaillées."
44,L'Idiot,Fedor Dostoievski,Folio,2016,Roman,Littérature russe,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"« L'Idiot » de Fiodor Dostoïevski met en scène le prince Mychkine, homme d'une bonté et d'une innocence christiques, dont le retour dans la société pétersbourgeoise provoque fascination et drame. Confronté à la passion, à l'argent et à la cruauté mondaine, ce héros « parfaitement bon » court à sa perte. Grand roman sur l'âme et la compassion."
156,Fodor's Paris,Fodor's,Fodor's,2013,Guide de voyage,Voyage / Europe,,,PXL_20260522_080854643.jpg,"Guide touristique de la collection Fodor's consacré à Paris. Il rassemble informations pratiques, adresses d'hôtels et de restaurants, itinéraires de visite, cartes et descriptions des principaux quartiers et monuments de la capitale française. Destiné à un public anglophone."
155,Envoûtement de Paris,Francis Carco,Grasset,1938,Beau livre / Photographie,Voyage / Asie,,oui,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Ouvrage célébrant le charme et l'envoûtement de Paris, à travers descriptions et évocations de la ville. Sans auteur identifié, il s'agit vraisemblablement d'un beau livre ou d'un récit de voyage consacré à la capitale française. Description prudente fondée sur le titre."
45,Un sage est sans idee,Francois Jullien,Seuil (L'ordre philosophique),,Essai,Philosophie / Pensée chinoise,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Essai de François Jullien, sinologue et philosophe, qui oppose la sagesse chinoise à la philosophie occidentale. Le sage, contrairement au philosophe, ne pose pas d'idée fixe : il maintient toutes les options ouvertes, sans privilégier aucune thèse. À travers Confucius et la tradition chinoise, Jullien interroge notre rapport à la vérité et à la pensée."
46,"Demain, deja",Francoise Giroud,Fayard,2003,Autobiographie,Littérature française / Journal,,oui,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Journal de la journaliste et femme politique Françoise Giroud. Mêlant chronique de l'actualité, réflexions personnelles et regards sur les figures de son temps, ce volume offre un témoignage vif sur la vie intellectuelle et politique française. Écriture alerte et incisive caractéristique de l'auteure."
47,Tous les jeux de cartes,Frans Gerver,Marabout (Jeux),1985,Manuel / Guide pratique,Jeux / Loisirs,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Guide de référence de Frans Gerver, dans la collection Marabout, recensant les règles de nombreux jeux de cartes. De la belote au bridge, du poker aux jeux de famille, l'ouvrage détaille déroulement, règles et stratégies. Manuel pratique et complet à l'usage des joueurs."
49,Ainsi parlait Zarathoustra,Friedrich Nietzsche,GF (Garnier-Flammarion),,Essai,Philosophie,,,IMG-20260529-WA0015.jpg / IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg / PXL_20260522_080923036.jpg,"« Ainsi parlait Zarathoustra » de Friedrich Nietzsche est un poème philosophique où le prophète Zarathoustra annonce la mort de Dieu, le surhomme et l'éternel retour. Mêlant aphorismes, paraboles et lyrisme, l'œuvre proclame une nouvelle table des valeurs et une affirmation de la vie. Texte majeur de la philosophie moderne."
48,Un barrage contre l'Atlantique / L'écureuil qui ne faisait pas de provisions,Frédéric Beigbeder,Le Livre de Poche / Grasset,,Roman,Littérature française,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"Volume réunissant des textes de Frédéric Beigbeder. « Un barrage contre l'Atlantique » est un récit autobiographique, suite de « Un roman français », où l'auteur poursuit l'évocation de sa vie, de sa famille et de l'époque, avec son mélange habituel d'autodérision, de nostalgie et de provocation mondaine."
50,Sciences pour tous ?,G. Fayre,Sciences et techniques,1949,Essai,Sciences / Société,,oui,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Ouvrage interrogeant la place et l'accessibilité des sciences dans la société (« Sciences pour tous ? »). Il aborde l'histoire des sciences, la vulgarisation et les rapports entre savoir scientifique et culture. Description prudente faute de détails précis sur l'auteur et l'édition."
51,The Great Hong Kong Sex Novel: The Rise and Fall of A Hong Kong Chauvinist,George Adams,AIP Publications,,Roman,Fiction étrangère / Satire,,oui,IMG-20260529-WA0015.jpg / PXL_20260522_080854643.jpg / image-1779437127449.jpg,"Roman satirique de George Adams se déroulant à Hong Kong, dont le titre annonce une comédie de mœurs sur l'ascension et la chute d'un expatrié macho. Satire des milieux d'affaires et de la vie coloniale tardive de Hong Kong, sur un ton humoristique et grivois. Description fondée sur le titre."
52,Testez votre quotient émotionnel,Gilles d'Ambra,Marabout,1999,Manuel / Guide pratique,Psychologie / Développement personnel,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Ouvrage de Gilles d'Ambra, dans la collection Marabout, proposant tests et questionnaires pour évaluer son quotient émotionnel (QE). Inspiré des travaux sur l'intelligence émotionnelle, il invite le lecteur à mieux connaître sa gestion des émotions et des relations. Guide grand public d'auto-évaluation."
53,Les indomptables : Psychologie et liberte interieure,"Ginette Raimbault, Caroline Eliacheff",Seuil,,Essai,Psychologie,,oui,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Essai de Ginette Raimbault et Caroline Eliacheff, psychanalystes, consacré aux personnalités qui résistent et conquièrent une liberté intérieure. À travers des figures et des cas, les auteures explorent les ressorts psychiques de l'indocilité, du refus de la soumission et de l'affirmation de soi. Réflexion psychanalytique sur la liberté."
54,Sleep No More,Greg Iles,,,Roman,Policier / Thriller,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Thriller de l'auteur américain Greg Iles. « Sleep No More » met en scène un homme dont la vie bascule lorsqu'il croit reconnaître, en une inconnue, une ancienne amante morte des années plus tôt. Suspense psychologique teinté de surnaturel, sur l'obsession et la culpabilité."
55,Méditerranée : Les perspectives du Plan Bleu,"Guillaume Benoit, Aline Comeau",Éditions de l'Aube,,Essai,Écologie / Développement durable,,,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Étude du Plan Bleu sous la direction de Guillaume Benoit et Aline Comeau, consacrée à l'avenir environnemental et au développement durable du bassin méditerranéen. L'ouvrage analyse pressions démographiques, eau, énergie, urbanisation et propose des scénarios pour concilier développement et préservation des ressources. Référence en prospective environnementale méditerranéenne."
56,Bel-Ami,Guy de Maupassant,Pocket,1893,Roman,Littérature française,3.6,,IMG-20260529-WA0017.jpg / IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg / PXL_20260522_080934604.jpg,"« Bel-Ami » de Guy de Maupassant retrace l'ascension de Georges Duroy, ancien soldat ambitieux qui, grâce à son charme et au journalisme parisien, gravit les échelons de la société en séduisant et trahissant les femmes. Satire mordante de la presse, de l'argent et de l'arrivisme sous la Troisième République."
57,Qu'est-ce que l'emergence ?,H. Bersini,Ellipses,,Essai,Sciences / Systèmes complexes,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Essai d'Hugues Bersini, informaticien spécialiste des systèmes complexes, expliquant la notion d'émergence : comment des comportements collectifs nouveaux naissent de l'interaction d'éléments simples. L'ouvrage parcourt biologie, intelligence artificielle, économie et vie artificielle. Introduction accessible à un concept clé des sciences de la complexité."
58,La course au mouton sauvage,Haruki Murakami,Points (P 1031),2009,Roman,Fiction étrangère / Japon,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Roman d'Haruki Murakami. Un publicitaire désabusé est sommé de retrouver un mystérieux mouton à étoile doté de pouvoirs, ce qui l'entraîne dans une quête étrange jusqu'au nord du Japon. Mêlant réalisme, onirisme et enquête métaphysique, ce livre marque l'entrée de Murakami dans la fiction fantastique."
59,Le Journal de Bridget Jones,Helen Fielding,J'ai lu,,Roman,Littérature étrangère / Humour,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"« Le Journal de Bridget Jones » d'Helen Fielding raconte, sous forme de journal intime, une année de la vie d'une trentenaire londonienne célibataire obsédée par son poids, ses cigarettes et sa quête de l'amour. Comédie sentimentale devenue culte, satire enlevée des angoisses féminines contemporaines."
61,Les étoiles de Compostelle,Henri Vincenot,Folio (Gallimard),1982,Roman,Littérature française / Régionalisme,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"« Les Étoiles de Compostelle » d'Henri Vincenot est un roman initiatique situé au Moyen Âge, suivant un jeune homme sur les chemins des bâtisseurs de cathédrales et le pèlerinage de Saint-Jacques. L'auteur y célèbre les traditions, le compagnonnage et la sagesse ésotérique de la France profonde, notamment bourguignonne."
62,Verwechseljahre,Hera Lind,Diana Verlag,,Roman,Fiction étrangère / Humour,,oui,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman en allemand de Hera Lind, auteure à succès de comédies populaires. Le titre, jeu de mots sur « Wechseljahre » (ménopause), annonce une comédie féminine enjouée sur la quarantaine, les méprises de la vie de couple et les bouleversements d'une femme. Roman de divertissement humoristique."
